title,hour,price,location,subtitle,text
Ailand Entertainment Center,,,,"There is a Ferris wheel, an oceanarium, and an aquapark.","Ailand is one of the biggest entertainment centers in Nur-Sultan. It is striking in its scale. It includes the country's largest Ferris wheel, 65 meters (213 ft) high, equipped with air conditioning and heating systems, and allowing people to use it at any time of the year. There is also a large oceanarium, which includes three exhibition zones with twenty different aquariums. It is peculiar for being more than three thousand kilometers away from the ocean. Fascinating theatrical project ""Jungle"" will take you back in time to the era of dinosaurs. In addition, there is the largest indoor aquapark in Nur-Sultan with various slides and a wave pool. And if you want to relax and treat yo"
 Atameken Ethno-Memorial Complex,,,,Here you can see miniature copies of Kazakhstan's most recognizable landmsrks.,"Kazakhstan is among the largest countries in the world by area. You need to travel thousands of kilometers to visit all cities and see every attraction. But, thanks to the Atameken Ethno-Memorial Complex, you can see them all in one place.The name of the complex means ""land of ancestors"". Here, on an area equal to two football fields, there are smaller copies of over two hundred main architectural structures and monuments of Kazakhstan, as well as forests, mountains and hills. Atameken aims at raising awareness about Kazakhstani tourist destinations. In addition, there is a stage for various festivals, celebrations, and performances. If you want to spend your free time productively, then be sure to vis"
Military History Museum,,,,The museum explores Kazakhstan's conflicts from the Stone Age to the present day.,"The Military History Museum proudly bears the title of the most technically developed museum of Kazakhstan. It consists of several thematic halls that amaze its visitors' imagination with their unique expositions. The indescribable atmosphere of the museum lies in the exceptional work of the museum workers. Thanks to them each exhibit, and there are more than 6,000 of them, as if “comes to life”.All artifacts, be it a letter, a document or military equipment, convey the history of Kazakhstan. Here, anyone can get not only to see the exhibits, but even to touch them. The Military History Museum of Kazakhstan allows you to feel the very essenc"
Bayterek Tower,,,,"The symbol of the great past, promising present, and a wonderful bright future of Kazakhstan.","""Everyone who climbs the Bayterek Tower, will learn the essense of the steppe"" - this is how the President of the Republic of Kazakhstan described the magnificent structure in the very center of our huge country. Undoubtedly, the tower is the landmark of Nur-Sultan. ""Bayterek"" in Kazakh means ""High poplar tree"". Its architectural design is inspired by an ancient Turkic myth about a tree of life and a sacred bird: every year the bird, named Samruk, lays its egg (the Sun) in the crevice between the branches of the poplar tree. Bayterek is considered a symbol of modern Kazakhstan. Having visited this unique tower, you will never be able to forget the inde"
Kazakh Eli Monument,,,,A symbol of the sovereignty of Kazakhstan,"Located in the center of the capital on Independence Square, Kazakh Eli Monument is a fairly new architectural landmark of Nur-Sultan. It is a column, standing on a quadrangular white marble foundation, which is decorated with bas-reliefs depicting the main events in the history of the independent Republic of Kazakhstan. Interesting fact: the monument is 91 meters high, that symbolyzes 1991, the year when independence was gained.The Kazakh Eli Monument is not just a symbol of sovereignty. It also reflects the traditional culture and history. And the sacred bird Samruk, sitting on the top of the monument, represents Kazakhstan's aspiration to su"
Palace of Peace and Reconciliation,,,,A symbol of unity and tolerance,"What country first comes to mind when you hear the word ""pyramid""? Of course, Egypt! However, Kazakhstan has its own pyramid - the Palace of Peace and Reconciliation. The exceptional building, built by the celebrated British architect Norman Foster, includes a conference hall, a concert hall, an art gallery, and many more. Here, for the first time, a grandiose Congress of Leaders of World and Traditional Religions was held, which was initiated by the President of Kazakhstan to resolve the issue of religious wars.The Palace of Peace expresses the essence of Kazakhstan, where cultures, and various nationalities co"
The Ishim River Embankment,,,,A great destination for strolling on warm evenings,"The Ishim (Esil) River Embankment is an urban public space, where you can see picturesque skyline of the city, street musicians, artists, and children's rides. In summer, here you can enjoy an entertaining boat tour, and in winter - you can skate, admiring the capital's panorama.The central embankment of Nur-Sultan combines the opposites: vibrancy, and complete peace and quiet. Would you like to walk alone or with friends and family - the Ishim Embankment will surely provide you with a pleasant pastime. At night it’s just incredibly beautiful place: the dark waters of the river reflect the lights of the big city. Here you can often"
Mangilik El Triumphal Arch,,,,It symbolizes the achievements of the Kazakh people.,"It is one of the most recognizable architectural structures in Nur-Sultan, the capital of Kazakhstan. The name of the arch means ""Eternal Country"". Its opening was timed to the 20th anniversary of the country's independence. The opening ceremony was visited by President Nursultan Nazarbayev. The arch is 20 meters (65 ft) high. Its height symbolizes 20 years of independence. Having visited this place, you can get to know the culture of Kazakhstan, learn the history of the capital, visit the exhibition hall, admire the facing and interior decorated with all sorts of symbols, ornaments and sculptures that have their own special meaning. At the top there is a wide observation platform, which offers truly magnificent view of the capital's skyline. In the hall, sensory displays are installed, where anyone can get information about the triumphal arches of the world, and view materials about the history of Nur-Sultan.The life and achievements of the Kazakh people, the history of Kazakhstan are the main concepts of the Mangilik El Triumphal Arch. Having visited it, you will get a unique opportunity to learn the traditions, culture and hi"
Nazarbayev Center,,,,"It hosts a museum, a conference hall, and a library.","Unique architecture of Nur-Sultan surprises not only guests of the city, but its residents as well. Nazarbayev Center impresses with its futuristic design. It was built by Norman Foster, a prominent British architect. The building resembles an eye looking into the sky. This eye symbolizes the power of Kazakhstan.In Nazarbayev Center there is a museum displaying various artifacts and presents given to President Nazarbayev over the years. There is also the Library o"
 Tabagan Ski Resort ,,,,The Tabagan Ski Resort is quite popular among skiers and snowboarders of Almaty.,"If you are a brand new snowboarder or skier, then Tabagan will be a great place for you to practise and probably take some lessons. In addition, there is a long cable car, a toboggan run open year-round, a tennis court, a football field, and a volleyball court.Moreover, here you can admire a stunning view of the mountain slopes and spruce groves, that does not cease to fascinate even experienced travelers. Definitely, Tabagan Ski Resort is one of the best holiday destinations. It is located just 17 kilometers away from the ci"
Alley of Prominent People,,,,There are busts of Kazakhstani leaders of the public movement for the establishment of Soviet Union.,"In Almaty, on Panfilov Street there is Astana Square, where the main city events and concerts are held. One of the attractions on the square is the Alley of Prominent People, which was founded in 1987. There are busts of people who played a crucial role in the establishment of Soviet Union, such as S. Seyfullin, T. Ryskulov, M. Frunze, A. Rozybakiyev, D. Furmanov and others. The monuments are made"
Ali Mohammed Mosque,,,,The peaceful atmosphere of this mosque will not leave anyone indifferent.,"Ali Muhammad Mosque is located in Almaty. The building, designed according to Eastern architectural traditions, inspires every parishioner and traveler. Indoors there is a lot of religious literature, important for all Muslims. Around the mosque there are rose gardens, apple orchards and sculptural fountains. Here you can relax sitting on a bench in the shade of tall trees, immers"
A. Kasteyev State Museum of Arts,,,,There are more than 25 thousand masterpieces of fine art from different eras.,"The largest art museum in Kazakhstan is named after Abylkhan Kasteev, a famous artist. It was established in 1935. There are more than 25 thousand masterpieces of fine art, not only from Kazakhstan, but also from Russia, Asia, and Western Europe. There are 14 halls, where 1,500 works of prominent sculptors and painters are displayed: A. Kasteev, K. Telzhanov, A. Stepanov, G. Ismailova, H. Nauryzbayev, and, of course, Sergey Kalmykov, who is considered one of the most important figures of the Russian avant-garde art.The museum's collection is regularly updated with new works, so every time you come h"
Shymbulak Ski Resort,,,,Do you like skiing? Or maybe snowboarding? Do you want to eat out in a picturesque place surrounded by mountains? You can do it all in Shymbulak Resort.,"There is nothing better than outdoor recreation, when you can enjoy stunning views of untouched nature, while doing sports. Shymbulak Ski Resort, located in the incredibly picturesque gorge of the Ile Alatau, offers a variety of winter and summer activities. Visit this amazing place and have the time of your life, with memories to last a lifetime.By the way, the temperature here is about 10°C (18°F) lower than i"
Ak Bulak Ski Resort ,,,,Ak Bulak Ski Resort quickly gained popularity and became one of the main attractions of Almaty,"The resort offers a lot of options for entertainment: extreme outdoor activities, hiking or just wandering around admiring the mountain landscapes.The weather here is always good: wind is never strong, it is always warm and sunny, in winter there is a lot of snow. These are the ideal condition"
