title,url,hour,price,location,subtitle,text,label_cat
"""Ailand"" отбасылық демалыс орталығы ",https://kazakhstan.travel/tourist-spot/kk/181/ailand-kktertainmkkt-ckkter,12,3700.0,Нұр-Сұлтан,"Шолу шеңбері, Мұхитарал, Аквапарк, Джунгли","""Ailand""- елорданың басты ойын-сауық орталығы десек, еш жаңылыспаймыз. Себебі, мұнда үлкенді-кішілі әрбір қонақты ұмытылмас әсерлер күтіп тұр. Орталықтың ауқымдылығы көз көргенді бірден таң қалдырары анық. Мұндағы биіктігі 65 метрге тең еліміздегі ең үлкен шолу шеңбері конционерлер мен жылыту жүйесімен жабдықталғандықтан, астананың көркін биіктен тамашалауға ниетті келушілерді жыл бойы қабылдап, қуантып келеді. Орталықтың тағы бір мақтанышы -  әлемдік мұхиттан 3000 шақырым қашықтықта орналасқан мұхитарал. Ол 20 аквариумды біріктіретін 3 көрме залынан тұрады. Оған қоса, Юра кезеңіндегі динозаврлар әлемі жасырылған ""Джунгли"" театрлық жобасының да сыйлар естеліктері тым жарқын болмақ. Қаладағы ғимарат ішінен салынған ең ірі аквапарк та осы ""Ailand""-те. Әдетте, көңіл-көтеремін деушілер іздеген игіліктерін толқынды хауыз бен судағы ойын алаңдарынан тауып жатса, жанын тынықтырып, денін сауықтыруға келгендер қуана-қуана жайлы да заманауи SPA қызметіне жүгінеді.""Ailand""-тегі алғашқы демалысыңыз - осы орталықта өткізбек арайлы күндеріңіздің ұзақ тізбегінің бастамасы болмақ. Бұл жерге келген сайын, қай",14
"""Атамекен"" этно-мемориалдық кешені",https://kazakhstan.travel/tourist-spot/kk/180/atamekkk-ethno-memorial-complex,4,600.0,Нұр-Сұлтан,Қазақстандағы барлық айтулы көрнекті орындардың кішірейтілген нұсқалары осы кешенде орналасқан,"Қазақстан Республикасы жер аумағы бойынша Әлемдегі ең ірі мемлекеттердің алғашқы ондығына кіреді. Демек, осынау ұлан-ғайыр даланың бар кереметіне көз жеткізу үшін мыңдаған шақырымдық жол, ондаған күндік сапарға аттануға тура келеді.  Елорданың төрінен орын тапқан ""Атамекен"" этно-мемориалды кешенінде серуендеп жүріп, Қазақ жерінің барлық тарихи, мәдени, сәулет игіліктерімен танысып, тамашалап қайтуға болатыны, ерекше қуантарлық жайт.Кешеннің атауы да ата-бабамыз мекен еткен асыл жер деген ұғыммен астасып жатыр. Екі бірдей футбол алаңының аумағын алып жатқан кешенде Қазақстандағы ең көрнекті деген 200-ден астам сәулет нысандары мен тарихи ескерткіштер, ормандар, таулар мен төбелер кескінделген. ""Атамекен"" кешенінің барлық мақсат-мүддесі қазақ мәдениетінің жауһарларын сақтап, қоғамға танытуға бағытталған. Қазақстанның бедерлі картасында ареналы форум аймағы жасақталған. Мұнда көптеген іс-шаралар ұйымдастырылады. Қызықты да танымды демалыс өткізгіңіз келсе",16
ҚР Қарулы күштерінің Әскери-тарихи мұражайы,https://kazakhstan.travel/tourist-spot/kk/186/military-history-museum,2,0.0,Нұр-Сұлтан,Түрлі дәуірлердің тарихы жайлы сыр шертетін әскери жәдігерлер сақталған бірегей мұражай.," Әскери-тарихи мұражай еліміздегі техникалық жабдықтамасы ең озық мұражайдың бірі. Ол бірегей экспозицияларымен туристерді таң-тамаша қалдыратын бірнеше залдан тұрады. Мұражайда орнаған күй-жайды сөзбен айтып жеткізу мүмкін емес. Себебі, шеберлердің тыңғылықты еңбегі нәтижесінде, келушімен қауышқан жәдігерге жан біткендей сезіледі. Ал сондай ""тірі"" жәдігерлердің ұзын саны 6000-ға жетеді. Мұражайдағы не нәрсе жайлы айтсаңыз да: хаттар, құжаттар, әскери қару-жарақ, барлығы да Қазақстанның ежелгі замандардан бүгінгі күнге дейінгі тарихын бейнелейді, баяндайды. Қалауыңыз болса, кей жәдігерлерді қарап қана қоймай, ұстап көруге де рұқсат етілген. ҚР Қарулы күштерінің Әскери-тарихи мұражайы соғыстың  зардап-залалын ұғынып, батыр бабаларымызды ұлықтап, тағылымды тарихымыз жайлы тың мәліметтермен таныс",73
" ""Астана-Бәйтерек"" монументі",https://kazakhstan.travel/tourist-spot/kk/175/bayterek-tower,2,500.0,Нұр-Сұлтан,"""Бәйтерек"" - қазақ халқының тарих тұңғиығынан бастау алған ұлттық болмасын, бүгінгі дамуға деген тынымсыз талпынысы мен жарқын болашаққа деген риясыз сенімін сабақтастырған елдігіміздің нышаны","Еліміздің жүрегінен орын тапқан осы құрылыстықа Елбасы Н.Ә. Назарбаев: ""Бәйтерекке көтерілген әр адам Қазақстан даласының кеңдігін бойына сіңіреді"",-деп сипаттама берген. ""Бәйтерек"" - қайталанбас елордамыздың бас рәмізі, ең танымал бірегей құрылысы. Көне түркі аңыздарынан бастау алған сәулет жауһары Нұр-Сұлтан қаласының тұрғандары мен қонақтарына қазақ мәдениетінің таңқаларлық қырларын танытады.Бұл әсем ғимарат өткен күн мен болашақтың бүгінгі күн арқылы сабақтасып жатқанын білдіреді. Маңызы мен салтанаты үйлескен ""Бәйтеректі"" өз көзіңізбен көргеннен-ақ, ойыңызды",0
" ""Қазақ елі"" монументі",https://kazakhstan.travel/tourist-spot/kk/176/kazakh-eli-monumkkt,1,0.0,Нұр-Сұлтан,Еліміздің егемендігін арқау еткен ескерткіш,"Тәуелсіздік алаңының қақ ортасында бой түзеген ""Қазақ елі"" монументі Нұр-Сұлтан қаласының көрнекті орындары қатарын толықтырғалы ұзақ уақыт өткен жоқ. Бұл - әр қырына Қазақстан Республикасының қалыптасу тарихындағы елеулі оқиғалар бедерленген ақ мәрмәрдан соғылған төртбұрышты іргетасқа орнатылған ақ мұнара. Еліміз тәуелсіздік алған кез - 1991 жылға сәйкестендірілген құрылыс биіктігі 91 метрге тең. ""Қазақ  елі"" кешені - егемендігіміздігімізбен қатар, тарихымыз бен мәдениетімізді әуелетіп тұр. Ал мұнараның ұшар басына қонған Самұрық құс Қазақстанның үздіксіз өсу мен дамуға",4
Бейбітшілік және келісім сарайы ,https://kazakhstan.travel/tourist-spot/kk/177/palace-of-peace-and-reconciliation,3,650.0,Нұр-Сұлтан,Халық достастығының және дін еріктілігінің символы,"""Пирамида"" сөзін ести салысымен, көз алдымызға бірден Мысыр елі елестейді. Дегенмен, елордамыз да ұлттарды біріктіріп, діндерді келістірген ерекше ""пирамида"" бар. Ол - Бейбітшілік және келісім сарайы. Әйгілі британ сәулетшісі Норман Фостердің жобасымен салынған ғимарат концерт залы, мәжіліс залы, көркемөнер галереясы сияқты бөлімдерден тұрады. Сарайдың ерекше ішкі безендірілуі де келушілердің назарын аудармай қоймасы анық. ҚР Тұңғыш Президенті бастамасымен, діни келіспеушіліктер нәтижесіндегі халықаралық қақтығыстарды болдыртпау мақсатында ұйымдастырылған Әлемдік және дәстүрлі діндер көшбасшыларының съезі алғаш рет дәл осы сарайда өткізілген.Ұлтаралық достастық пен дінаралық келісімді арқау еткен ""Пирамида"" түнде ерекше жарқырай түседі. Оның ұшар басында тоғысқан жарық сәулелері халқымыздың ұлттық бірлікке ",50
 Нұр-Сұлтан қаласының орталық жағалауы (Есіл өзені),https://kazakhstan.travel/tourist-spot/kk/178/the-ishim-river-embankmkkt,3,0.0,Нұр-Сұлтан,Нұр-Сұлтан қаласының тұрғындары мен қонақтарының сүйікті демалыс орны,"Есіл өзенінің жағалауы - елордалық жұрттың ең сүйікті демалыс орны десек артық айтпаймыз. Есілдің ерке толқындарына сүйсініп, қаланың мың құбыла жарқыраған көріністеріне тамсанып, музыкалық аспаптарын серік еткен қала дарындарының  әсем әуен, сазды әндерімен құлақ құрышын қандырып, суретшілердің көркем туындыларын тамашалап, керемет серуен құратындарыңыз айдан анық. Жаздың күні катермен шолу экскурсиясына шығып, балдырғандарды түрлі аттракциондарға апарып қуантып жатсаңыз, қыста коньки мен шананы іліп алып, мұз айдынында ұмытылмастай көңіл көтеруге болады. Бұл жағалауда мәңгілік қарсылықтағыдай көрінетін жанға сая болар тыныштық пен думанды тіршілік жарасымдылық тапқан. Жалғыз, отбасыңызбен немесе достарыңызбен серуенге шықсаңыз да, мұнда өткізген уақыт сізге бақыт сыйлайтынына күмәніңіз болмасын. Түн жамылғандағы көріністің әсерлілігін айтып жеткізудің өзі қиын: елорданың бар жарқылы Есілдің",11
"""Мәңгілік ел"" салтанат қақпасы",https://kazakhstan.travel/tourist-spot/kk/179/mangilik-el-triumphal-arch,2,425.0,Нұр-Сұлтан,"""Мәңгілік ел""- Қазақстанның бар жетістіктері мен бағындырған белестерін бейнелейтін тарихи шежіре іспеттес.","Елордамыздағы ең танымал құрылыстардың бірі - ""Мәңгілік ел"" салтанат қақпасы. Тәуелсіздігіміздің 20-жылдық мерей тойына орай ашылған бұл нысанның мән-маңызы аса зор. Ол тәуелсіз тарихымызды ұлықтайды. Қақпаның жалпы биіктігі 20 метрге тең. Бұл өлшем де кездей соқ шешім емес: әр метр еліміздің егемен, зайырлы мемлекет ретінде өткерген әрбір жылын белгілеп тұр. Мұнда қала тұрғындары мен қонақтары Қазақстан мәдениеті, жас астананың тарихы жайлы білімдерін тереңдетіп, көрме залындағы туындыларды тамашалап,  ғимараттың ішкі-сыртқы көріністерінде бейнеленген әрбір иірім мен ою-өрнектен, әрбір мүсін мен сұлбадан ұлттық болмысымызды тани алады. Құрылыстың ең жоғарғы бөлігінде Нұр-Сұлтан қаласының бар кереметін көз алдыңызға келтіретін шолу алаңы орналасқан. Залдың өзінде орнатылған сенсорлы тақталар арқылы Әлемдегі басқа да салтанат қақпалары туралы ақпарат алып, елордамыздың өткені мен бүгіні жайлы қызықты мәліметтермен танысуға болады. ""Мәңгілік ел"" салтанат қақпасының басты тұжырымдамасы Қазақстанның даму тарихы, ұлттық жетістіктеріміз бен ұстанымдарымызға негізделген. Бұл айтулы орынға келіп, Қазақстан Республика",22
Назарбаев Орталығы,https://kazakhstan.travel/tourist-spot/kk/183/nazarbayev-ckkter,2,0.0,Нұр-Сұлтан,"Мұражай, Конференц-зал, Қазақстан Республикасының Тұңғыш Президенті Кітапханасы ","Елорданың төрінде бой көтерген әр ғимараттың көркем қалыбы мен жеткізер ойы келген қонақтарды да, астаналық тұрғындарды да таңқалдыруын тоқтатқан емес. Әйгілі британдық сәулетші Норман Фостердің жобасымен салынған Назарбаев Орталығынының өзі көкке зер салған көз жанарын бейнелейді. Бұл - Қазақстанның сарқылмас күш-қуатынының белгісі іспеттес. Орталықтың ішінде Қазақстанның тарихи мәдениетімен қатарлас жүзжылдықтар бойы қалыптасқан ""Мәңгілік ел"" ұлттық тұжырымдамасына арналған суреттер көрмесі бар. Назарбаев Орталығы негізінде ҚР Тұңғыш Президенті кітапханасы және құнды жәдігерлер мен жылдар бойы Елбасына тарту етілген сыйлықта",61
"""Табаған"" тау-шаңғы курорты",https://kazakhstan.travel/tourist-spot/kk/196/tabagan-ski-resort,13,0.0,Алматы,Алматы қаласының тұрғындары және қонақтары арасында аса танымалдылыққа «Табаған» тау шаңғы курорты ие.,"«Табаған» тау-шаңғы
курорты қала орталығынан небәрі 17 шақырым жерде орналасқандықтан, кешенге жылдам әрі еш қиындықсыз жетуге болады. Егер сіз сноуборт немесе шаңғы тебуді енді
үйреніп жүрсеңіз, онда Табаған жаттығу, жүріс икемін шыңдау немесе жай
ғана таза ауада уақыт өткізу үшін тамаша орын. Сонымен қоса, тау-шаңғы
курортында арқан жолмен және жыл бойы ашық тұратын шана төбешігімен сырғанауға болады; кешен аумағында
теннис корты, футбол және волейбол алаңдары орналасқан. 
Әр тұстан
тамашалуға болатын таңғажайып тау бөктері мен шыршалы ормандардың көрінісі,
тәжірибелі саяхатшылардың өзін таңдандырмай қоймайды. «Табаған» тау-шаңғы
курорты - деніңізді сауықтырып, демалысыңызды белсенді де сапалы өткізуге ",23
